param,hyperparam,location,mean,lower,upper
mu,mu0,Colorado,0.004311405,0.003072658,0.005704294
mu,E,Colorado,0.437162952,0.228439728,0.644591799
mu,Eh,Colorado,4.138682879,2.646482692,6.429878023
mu,Th,Colorado,33.15070533,29.90442691,35.87947562
mu,mu0,Sheep_River,0.005274627,0.004362377,0.006244871
mu,E,Sheep_River,0.59531479,0.460946723,0.719954024
mu,Eh,Sheep_River,4.207270789,3.115982173,5.684568442
mu,Th,Sheep_River,34.28644698,32.36455716,35.91598356
mu,mu0,Sheep_Mountain,0.008741727,0.006182102,0.011465857
mu,E,Sheep_Mountain,0.523827916,0.29133665,0.72739357
mu,Eh,Sheep_Mountain,3.598016602,1.693532711,7.257659937
mu,Th,Sheep_Mountain,33.9694109,28.51249788,37.26336925
mu,mu0,Dawson,0.003738252,0.002333517,0.005483782
mu,E,Dawson,0.5456074,0.266227558,0.853067583
mu,Eh,Dawson,2.406272339,1.695247163,3.193893798
mu,Th,Dawson,28.93390956,24.74681703,33.39364461
tau,tau0,Colorado,14.73874113,10.97979018,17.36571714
tau,E,Colorado,0.522718829,0.269947417,0.948757128
tau,Eh,Colorado,1.639335334,0.942686859,3.403177684
tau,El,Colorado,3.40482247,2.850227562,3.99405459
tau,Th,Colorado,31.36250005,20.50989695,37.5026609
tau,Tl,Colorado,9.09542133,7.825206632,10.29325697
tau,tau0,Sheep_River,14.46081954,12.40423611,16.13308248
tau,E,Sheep_River,0.44607581,0.242563533,0.731890143
tau,Eh,Sheep_River,2.255590467,1.123712493,5.639171396
tau,El,Sheep_River,3.211375813,2.790993764,3.745006322
tau,Th,Sheep_River,33.91336275,25.90725437,37.5553565
tau,Tl,Sheep_River,8.770818377,7.545543777,10.05202121
tau,tau0,Sheep_Mountain,12.27189334,8.788872661,14.83809161
tau,E,Sheep_Mountain,0.662217854,0.299289591,1.14933835
tau,Eh,Sheep_Mountain,1.437828227,1.003430738,2.418874977
tau,El,Sheep_Mountain,3.856525681,2.824885913,6.460093288
tau,Th,Sheep_Mountain,27.36793603,18.28496733,35.99182456
tau,Tl,Sheep_Mountain,8.017730727,6.046793857,9.863992833
tau,tau0,Dawson,13.24473172,11.15762118,15.26255464
tau,E,Dawson,0.43516268,0.275571556,0.613586489
tau,Eh,Dawson,3.744403252,2.451606561,5.633324193
tau,El,Dawson,2.80160823,2.175950167,3.661502342
tau,Th,Dawson,33.12374122,31.16733551,34.41804745
tau,Tl,Dawson,8.207368893,6.589491007,10.08689571